date,degres
1930-01-05,14.0
1899-02-10,17.4
1989-03-30,23.7
1949-04-17,29.4
1944-05-30,32.6
1947-06-27,36.8
1895-07-28,37.0
1944-08-23,36.0
1929-09-02,33.0
1921-10-08,26.9
1927-11-03,19.0
1989-12-16,16.4
1975-01-15,14.0
1960-02-29,17.2
1949-03-29,22.5
1949-03-30,22.5
1968-04-21,27.6
1931-05-26,31.0
1952-06-30,33.6
1952-07-01,36.6
1986-08-03,34.7
1949-09-05,33.0
1979-10-10,25.5
1899-11-06,18.6
1985-12-05,14.8
1877-01-09,13.5
1900-02-25,17.0
1968-03-29,22.5
1968-03-30,22.5
1955-04-30,27.2
1945-05-12,30.8
1957-06-30,33.3
1921-07-29,36.4
1921-08-02,34.4
1919-09-12,32.7
1933-10-01,25.3
1972-11-02,18.5
1868-12-06,14.5
1918-01-20,13.5
1922-02-26,16.8
1946-03-29,21.5
1934-04-16,26.4
1912-05-12,30.5
1976-06-30,33.3
1947-07-29,36.0
1911-08-10,34.3
1911-09-03,32.5
1985-10-03,25.2
1931-11-04,17.8
1979-12-07,14.5
1925-01-03,12.5
1943-02-24,16.5
1972-03-20,21.5
1869-04-14,26.0
1943-05-14,30.5
1948-06-11,33.0
1949-07-13,35.5
1947-08-18,33.8
1973-09-04,32.5
1908-10-03,24.6
1938-11-14,17.2
1914-12-07,14.0
1983-01-05,12.5
1950-02-18,15.8
1911-03-29,21.2
1900-04-22,25.9
1976-05-09,30.5
1839-06-26,32.7
1957-07-06,35.5
1918-08-22,33.5
1947-09-19,32.2
1986-10-02,24.5
1870-11-25,17.0
1915-12-10,14.0
1989-01-12,12.4
1957-02-02,15.5
1945-03-25,21.
1952-04-15,25.6
1947-05-31,30.2
1950-06-30,32.5
1964-07-18,35.5
1937-08-09,33.5
1895-09-07,32.0
1895-09-09,32.0
1966-10-04,24.2
1939-11-08,17.0
1939-11-09,17.0
1953-12-04,14.0
1953-12-05,14.0
1878-01-31,12.0
1958-02-14,15.4
1896-03-24,20.7
1913-04-28,25.5
1847-05-24,30.0
1937-06-11,32.2
1911-07-23,35.2
1943-08-20,33.5
1886-09-02,31.0
1942-10-06,24.0
1955-11-07,17.0
1983-12-24,13.6
1883-01-01,12.0
1961-02-26,15.4
1923-03-14,20.7
1841-04-29,25.3
1870-05-22,30.0
1941-06-24,31.6
1941-06-25,31.6
1976-07-03,34.9
1976-07-16,34.9
1933-08-11,33.4
1898-09-09,30.7
1983-10-04,23.6
1968-11-01,17.0
1925-12-30,13.5
1936-01-10,11.9
1920-02-20,15.3
1918-03-24,20.5
1920-03-29,20.5
1953-03-25,20.5
1961-03-17,20.5
1840-04-29,25.2
1897-05-31,30.0
1922-05-24,30.0
1953-05-24,30.0
1953-05-25,30.0
1915-06-08,31.5
1919-06-12,31.5
1919-06-13,31.5
1939-06-08,31.5
1983-07-31,34.3
1952-08-12,33.4
1906-09-04,30.6
1947-10-08,23.5
1916-11-04,16.7
1987-12-18,13.5
